component,count
pf-m-redhat-font,183
pf-c-page,183
pf-c-page__header,183
pf-c-page__header-brand,183
pf-c-page__header-brand-toggle,183
pf-c-button pf-m-plain,294
pf-c-page__header-brand-link,183
pf-c-brand,183
pf-c-page__header-tools,183
pf-c-page__sidebar pf-m-dark pf-m-expanded,183
pf-c-page__sidebar-body,183
pf-c-nav pf-m-dark,183
pf-c-dropdown,190
pf-c-dropdown__toggle,212
pf-c-dropdown__toggle-text,232
pf-c-title pf-m-md,183
pf-c-dropdown__toggle-icon,232
pf-c-nav__list,183
pf-c-nav__item pf-m-expanded pf-m-current,166
pf-c-nav__link,9833
pf-c-nav__toggle,1860
pf-c-nav__subnav,1860
pf-c-nav__simple-list,1860
pf-c-nav__item,9833
pf-c-nav__link pf-m-current,166
pf-c-nav__separator,213
pf-c-page__main,183
pf-c-drawer,183
pf-c-drawer__content,183
pf-c-page__main-section pf-m-light,183
pf-c-drawer__panel,183
pf-c-drawer__panel-body pf-m-no-padding,183
pf-c-notification-drawer,183
pf-c-notification-drawer__header,183
pf-c-notification-drawer__header-title,183
pf-c-notification-drawer__body,183
pf-c-notification-drawer__group-list,183
query-pf-c-notification-drawer__group,183
pf-c-notification-drawer__group-toggle,183
pf-c-notification-drawer__group-toggle-title,183
pf-c-notification-drawer__group-toggle-count,183
pf-c-badge pf-m-read,193
pf-c-notification-drawer__group-toggle-icon,183
pf-c-notification-drawer__list,183
pf-c-empty-state co-status-card__alerts-msg,183
pf-c-title pf-m-lg,183
pf-c-empty-state__body,184
pf-c-empty-state__secondary,183
time,22.772461493999998
dropdown pf-c-dropdown,45
pf-c-form-control co-text-filter,108
pf-c-input-group,8
pf-c-form-control,23
pf-c-accordion pf-m-no-box-shadow co-search__accordion,7
pf-c-button pf-m-primary,78
pf-c-chip-group pf-m-toolbar,15
pf-c-chip-group__label,15
pf-c-chip-group,15
pf-c-chip,16
pf-c-chip__text,16
pf-c-button pf-m-plain co-toggle-play fa co-sysevent-stream__timeline__btn co-toggle-play--active,4
co-actions-menu pf-c-dropdown,1
pf-c-button pf-m-link pf-m-link--align-right query-browser__toggle-graph,1
pf-c-empty-state,1
pf-c-empty-state__icon,1
pf-c-title,1
pf-c-form__group pf-m-action pf-c-form pf-c-form__group--no-top-margin,1
pf-c-form__actions,38
pf-c-button pf-m-secondary query-browser__inline-control,1
pf-c-button pf-m-plain query-browser__expand-button,1
query-browser__query pf-c-dropdown,1
pf-c-form-control query-browser__query-input,1
pf-c-button pf-m-plain query-browser__clear-icon,1
pf-c-switch,1
pf-c-switch__input,1
pf-c-switch__toggle,1
pf-c-switch__toggle-icon,1
dropdown-kebab-pf,1
