className,count
pf-m-redhat-font,3
pf-c-page pf-m-redhat-font,3
pf-c-page__header,3
pf-c-page__header-brand ins-c-page__header-brand--loading,3
pf-c-page__header-brand-toggle,3
pf-c-button pf-m-plain,13
pf-c-page__header-brand-link,3
pf-c-page__header-tools,3
pf-c-page__header-tools-group pf-m-icons,3
pf-c-page__header-tools-group,3
pf-c-dropdown pf-u-hidden-on-lg,3
pf-c-dropdown__toggle pf-m-plain,7
pf-m-user,3
pf-c-dropdown,5
pf-c-dropdown__toggle-text,4
pf-c-dropdown__toggle-icon,4
pf-c-avatar,3
pf-c-page__sidebar pf-l-page__sidebar ins-c-sidebar--loading pf-m-dark,3
pf-l-split ins-c-navigation__header,3
pf-l-split__item ins-c-page__home-icon,3
pf-l-split__item pf-m-main pf-u-display-flex pf-u-align-items-center ins-c-navigation__header-name--loading ins-c-navigation__header-title__wrapper,3
pf-c-nav,3
pf-c-nav__list,3
pf-c-nav__item,12
pf-c-nav__link ins-c-skeleton__link,12
pf-c-page__drawer,3
pf-c-drawer__content,3
page__dashboard pf-c-page__main,1
pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section pf-m-light,2
pf-c-title pf-m-2xl,2
ins-l-dashboard pf-l-page__main-section pf-c-page__main-section,1
pf-l-gallery pf-m-gutter,1
pf-c-card ins-c-card__vulnerability,1
pf-c-card__header pf-c-title pf-m-md,2
pf-c-title pf-m-lg pf-u-mt-0 pf-u-mb-0,1
pf-c-card__body,2
pf-c-card__footer,2
pf-c-card ins-c-card__compliance,1
pf-c-title pf-m-lg,1
pf-l-stack,2
pf-c-page__main,3
pf-c-drawer__panel,3
pf-c-drawer__panel-body,3
pf-c-page__main pf-l-page__main,1
pf-m-light pf-c-page-header pf-c-page__main-section,1
pf-c-content,1
pf-c-title pf-m-2xl ins-l-page__header--loading,1
pf-c-page__main-section pf-l-page__main-section--loading,1
pf-u-screen-reader,1
page__Vulnerabilities pf-l-page__main pf-c-page__main,1
pf-c-tabs vulnerability-tabs,1
pf-c-tabs__scroll-button,2
pf-c-tabs__list,1
pf-c-tabs__item pf-m-current vulnerability-tabs,1
pf-c-tabs__button,2
pf-c-tabs__item vulnerability-tabs,1
pf-l-page__main-section pf-c-page__main-section,1
pf-l-stack__item,2
pf-l-toolbar ins-c-table__toolbar space-between-toolbar-items,1
pf-l-toolbar__group vulnerability-toolbar-spacing,1
pf-c-dropdown__toggle pf-m-split-button,1
pf-c-check,1
pf-c-check__input,1
pf-c-dropdown__toggle-button,1
pf-c-form-control ins-c-conditional-filter,1
pf-c-dropdown ins-c-filter__dropdown,1
pf-c-dropdown__toggle,1
pf-l-toolbar__group,2
pf-c-pagination,1
pf-c-pagination__total-items,1
pf-c-options-menu,1
pf-c-options-menu__toggle pf-m-plain pf-m-text,1
pf-c-options-menu__toggle-text,1
pf-c-options-menu__toggle-button,1
pf-c-pagination__nav,1
pf-c-pagination__nav-page-select,1
pf-c-form-control,1
pf-l-toolbar ins-c-table__toolbar pf-u-pt-0,1
pf-l-toolbar__item,1
pf-c-table pf-m-grid-md,1
