className,count
pf-m-redhat-font,541
pf-c-page pf-m-redhat-font,541
pf-c-page__header,541
pf-c-page__header-brand,536
pf-c-page__header-brand-toggle,541
pf-c-button pf-m-plain,1109
pf-c-page__header-brand-link,541
pf-l-page__header-tools pf-c-page__header-tools,536
pf-l-toolbar,536
pf-l-toolbar__group pf-u-mr-0 pf-u-mr-lg-on-lg,536
pf-l-toolbar__item,536
pf-c-dropdown pf-m-align-right,1608
pf-c-dropdown__toggle pf-m-plain,1630
pf-l-toolbar__group,536
pf-l-toolbar__item pf-u-hidden-on-lg pf-u-mr-0,536
pf-l-toolbar__item pf-u-screen-reader pf-u-visible-on-lg,536
pf-c-dropdown__toggle-text,542
pf-c-dropdown__toggle-icon,542
pf-c-avatar,541
pf-c-page__sidebar pf-l-page__sidebar ins-c-sidebar--loading pf-m-dark,541
pf-l-split ins-c-navigation__header,541
pf-l-split__item ins-c-page__home-icon,541
pf-l-split__item pf-m-fill pf-u-display-flex pf-u-align-items-center ins-c-navigation__header-title__wrapper,536
pf-c-nav pf-m-dark,536
pf-c-nav__list,541
pf-c-nav__item,2700
pf-c-nav__link pf-m-current,536
pf-c-nav__link,2144
pf-c-nav__separator,536
pf-c-nav__item ins-c-page__documentation,536
pf-c-nav__link ins-c-page__documentation,536
pf-c-page__drawer,541
pf-c-drawer__content,541
page__Insights pf-c-page__main,4
pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section pf-m-light,5
pf-c-title pf-m-2xl,361
pf-l-page__main-section pf-c-page__main-section,161
pf-c-empty-state,4
pf-c-empty-state__icon,2
pf-c-title pf-m-lg,8
pf-c-empty-state__body,6
pf-l-bullseye,2
pf-l-stack pf-m-gutter,2125
pf-l-stack__item,2126
pf-c-clipboard-copy,2
pf-c-clipboard-copy__group,2
pf-c-form-control,5
pf-c-clipboard-copy__group-copy,2
pf-c-button pf-m-primary,1
pf-c-page__main,541
pf-c-drawer__panel,541
pf-c-drawer__panel-body,541
pf-c-card,3
pf-c-card__body,3
page__remediations pf-l-page__main pf-c-page__main,1
pf-c-empty-state pf-m-lg ins-c-no-remediations,1
pf-c-tabs insights-tabs,1
pf-c-tabs__scroll-button,710
pf-c-tabs__list,355
pf-c-tabs__item pf-m-current insights-tabs,1
pf-c-tabs__button,1418
pf-c-tabs__item insights-tabs,1
pf-c-tab-content,1
pf-c-data-toolbar ins-c-primary-toolbar,1
pf-c-data-toolbar__content,3
pf-c-data-toolbar__group pf-m-filter-group ins-c-primary-toolbar__group-filter pf-m-spacer-lg pf-m-space-items-lg,2
pf-c-data-toolbar__item ins-c-primary-toolbar__filter,2
pf-l-split ins-c-conditional-filter,2
pf-l-split__item,522
pf-c-dropdown ins-c-conditional-filter__group,1
pf-c-dropdown__toggle,1
pf-l-split__item pf-m-fill,523
pf-c-form-control ins-c-conditional-filter,2
pf-c-data-toolbar__item pf-m-spacer-sm,1
pf-c-dropdown,17
pf-c-data-toolbar__item ins-c-primary-toolbar__actions pf-m-spacer-sm,1
pf-c-data-toolbar__item ins-c-primary-toolbar__pagination,2
pf-c-pagination,1
pf-c-pagination__total-items,2
pf-c-options-menu,3
pf-c-options-menu__toggle pf-m-plain pf-m-text,4
pf-c-options-menu__toggle-text,4
pf-c-options-menu__toggle-button,4
pf-c-pagination__nav,4
pf-c-pagination__nav-page-select,3
pf-c-data-toolbar__expandable-content,3
pf-c-data-toolbar__group,3
pf-c-data-toolbar__item,1
pf-c-chip-group pf-m-toolbar,1
pf-c-chip-group__label,1
pf-c-chip-group,1
pf-c-chip,1
pf-c-chip__text,1
pf-c-button pf-m-link,4
pf-c-data-toolbar__content pf-m-hidden,2
pf-c-data-toolbar__group pf-m-hidden,1
pf-c-table pf-m-grid-md,1
pf-c-table__sort,4
pf-c-table__sort-indicator,7
pf-c-table__sort pf-m-selected pf-m-width-15,1
pf-c-table__sort pf-m-width-15,1
pf-c-empty-state__icon ansibleCheck,1
pf-c-table__action,10
pf-l-toolbar ins-c-table__toolbar,1
pf-c-pagination pf-m-footer,2
page__inventory pf-c-page__main pf-l-page__main,531
pf-m-light pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section,1
pf-l-grid pf-m-gutter,531
pf-l-grid__item pf-m-12-col,532
pf-c-data-toolbar ins-c-inventory__table--toolbar ins-c-primary-toolbar,1
pf-c-pagination pf-m-compact,1
pf-c-data-toolbar__group pf-m-filter-group,1
pf-l-grid ins-inventory-list,1
pf-c-table pf-m-grid-md ins-c-entity-table,1
pf-c-table__check,10
pf-m-width-25,1
pf-m-width-25 pf-c-table__sort,1
pf-c-button pf-m-plain ins-c-tag-count,363
pf-l-toolbar ins-c-table__toolbar ins-m-footer ins-c-inventory__table--toolbar,1
pf-c-options-menu pf-m-top,1
pf-m-light mainPaddingOverride pf-l-page__main-section pf-c-page__main-section,1
pf-l-level levelAlignOverride,1
pf-m-light pf-l-page__main-section pf-c-page__main-section,1
pf-l-level,1
pf-l-flex pf-m-column,3
pf-c-empty-state svgAlignmentOverride,1
pf-c-button pf-m-secondary,1
pf-m-light ins-inventory-detail ins-c-inventory__detail--general-info pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section,375
pf-c-breadcrumb,530
pf-c-breadcrumb__list,530
pf-c-breadcrumb__item,1060
pf-c-breadcrumb__item-divider,530
pf-l-split ins-c-inventory__detail--header,521
pf-l-grid ins-entity-facts,521
pf-l-grid__item pf-m-6-col-on-md,521
pf-c-tabs pf-m-fill ins-c-inventory-detail__app-tabs,354
pf-c-tabs__item pf-m-current ins-c-inventory-detail__app-tabs,354
pf-c-tabs__item ins-c-inventory-detail__app-tabs,1062
ins-c-inventory__detail--general-info pf-l-page__main-section pf-c-page__main-section,375
pf-l-grid pf-m-all-12-col-on-sm pf-m-all-6-col-on-md pf-m-gutter,354
pf-l-grid__item,2124
pf-c-content,4253
pf-l-stack__item pf-m-fill,2124
pf-m-light ins-inventory-detail pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section,155
pf-c-page__header-brand ins-c-page__header-brand--loading,5
pf-c-page__header-tools,5
pf-c-page__header-tools-group pf-m-icons,5
pf-c-page__header-tools-group,5
pf-c-dropdown pf-u-hidden-on-lg,5
pf-m-user,5
pf-l-split__item pf-m-main pf-u-display-flex pf-u-align-items-center ins-c-navigation__header-name--loading ins-c-navigation__header-title__wrapper,5
pf-c-nav,5
pf-c-nav__link ins-c-skeleton__link,20
pf-c-page__main pf-l-page__main,5
pf-m-light pf-c-page-header pf-c-page__main-section,5
pf-c-title pf-m-2xl ins-l-page__header--loading,5
pf-c-page__main-section pf-l-page__main-section--loading,5
pf-u-screen-reader,5
